season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,5:32:58,02:42:30,09/02/20 02:42:30,02:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,31.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,5:56:60,03:06:31,09/02/20 03:06:31,03:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,29.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,5:58:18,03:07:49,09/02/20 03:07:49,03:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,29.1,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,6:19:01,03:28:32,09/02/20 03:28:32,03:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,27.1,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,6:36:14,03:45:45,09/02/20 03:45:45,04:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,25.2,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,6:47:49,03:57:20,09/02/20 03:57:20,04:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,23.8,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,7:17:35,04:27:06,09/02/20 04:27:06,04:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,20.0,99.8
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:21,21:11:20,09/02/20 21:11:20,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:21,21:11:21,09/02/20 21:11:21,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:24,21:11:23,09/02/20 21:11:23,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:25,21:11:24,09/02/20 21:11:24,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:25,21:11:25,09/02/20 21:11:25,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
